"独自番号","安定所名","求人番号","事_業_所","所_在_地","資本金","全社員数","就業場所人数","求人数","就業場所","月額賃金","賞与","時間外平均","週休２日制","年間休日数","業種8種","産業分類","職種"
"1636","尼崎公共職業安定所","28030-292159","大阪富士工業株式会社関西支店尼崎事業所","兵庫県尼崎市東向島西之町1番地日本製鉄株式会社関西製鉄所大阪地区尼崎","9,447万円",2128,54,8,"兵庫県",\223000,"あり",20,"その他",120,"製造分野","製鋼を行わない鋼材製造業（表面処理鋼材を除く）","技能職(シームレスパイプの製造等)"
"1637","尼崎公共職業安定所","28030-242359","大阪富士工業株式会社尼崎工場","兵庫県尼崎市常光寺１丁目９－１","9,447万円",2128,90,1,"兵庫県",\208000,"あり",10,"その他",120,"製造分野","建設用・建築用金属製品製造業（製缶板金業を含む）","技能職"
"1638","倉敷中央公共職業安定所","33030-304559","大阪富士工業株式会社水島支店","岡山県倉敷市水島川崎通１丁目
　ＪＦＥスチール（株）西日本製鉄所構内","9,447万円",2128,20,2,"兵庫県",\213000,"あり",27,"その他",100,"製造分野","製鉄業","（神戸市）機械オペレーター"
"1639","倉敷中央公共職業安定所","33030-303259","大阪富士工業株式会社水島支店","岡山県倉敷市水島川崎通１丁目
　ＪＦＥスチール（株）西日本製鉄所構内","9,447万円",2128,558,5,"岡山県",\208000,"あり",27,"その他",100,"製造分野","製鉄業","技能職（日勤）"
"1640","倉敷中央公共職業安定所","33030-302159","大阪富士工業株式会社水島支店","岡山県倉敷市水島川崎通１丁目
　ＪＦＥスチール（株）西日本製鉄所構内","9,447万円",2128,558,15,"岡山県",\220000,"あり",27,"その他",100,"製造分野","製鉄業","技能職（三交替）"
"1641","和歌山公共職業安定所","30010-376359","大阪富士工業株式会社和歌山支店","和歌山県和歌山市湊１８５０番地　日本製鉄構内","9,447万円",2128,170,4,"和歌山県",\208000,"あり",32,"その他",100,"その他の分野","機械修理業（電気機械器具を除く）","技能職（日勤のみ）"
"1642","和歌山公共職業安定所","30010-375059","大阪富士工業株式会社和歌山支店","和歌山県和歌山市湊１８５０番地　日本製鉄構内","9,447万円",2128,170,4,"和歌山県",\208000,"あり",32,"その他",100,"その他の分野","機械修理業（電気機械器具を除く）","技能職（交替勤務：夜勤あり）"
"1643","和歌山公共職業安定所","30010-272259","大阪富士工業株式会社
製造本部和歌山工場","和歌山県和歌山市雑賀崎２０１７－２１","9,447万円",2128,20,2,"和歌山県",\208000,"あり",15,"毎週",120,"製造分野","建設用・建築用金属製品製造業（製缶板金業を含む）","技能職"
"1644","峰山公共職業安定所","26070-8659","株式会社アウルコーポレーション","京都府京丹後市網野町木津２４７","2,000万円",275,115,4,"",\193000,"あり",15,"その他",107,"飲食・宿泊","旅館，ホテル","総合職"
"1645","峰山公共職業安定所","26070-9959","株式会社アウルコーポレーション","京都府京丹後市網野町木津２４７","2,000万円",275,115,2,"",\193000,"あり",15,"その他",107,"飲食・宿泊","旅館，ホテル","調理師"
"1646","灘公共職業安定所","28020-97159","株式会社コベルコE&M","兵庫県神戸市灘区岩屋北町4丁目5-22","1億5,000万円",1289,693,5,"",\217500,"あり",26,"その他",121,"建築・設備","その他の設備工事業","技術技能職 (設備メンテナンス、工事監督)"
"1647","灘公共職業安定所","28020-300859","株式会社ジェイアンドダブルトレーディング","兵庫県神戸市中央区磯上通6丁目1-9神戸MKビル6階",,100,51,10,"兵庫県",\182000,"あり",12,"毎週",125,"その他の分野","その他の技術サービス業","インフラシステムの品質管理/保守メンテ ナンス業務"
"1648","加古川公共職業安定所","28060-244359","シマブンスチールパートナーズ株式会社","兵庫県加古川市尾上町池田１８８４－１　加古川シマブンビル２Ｆ","1,000万円",362,353,5,"",\187000,"あり",20,"その他",100,"製造分野","製鉄業","技能工"
"1649","尼崎公共職業安定所","28030-258859","株式会社タクマ","兵庫県尼崎市金楽寺町2丁目2-33","133億67万円",1087,736,10,"兵庫県",\240680,"あり",25,"毎週",129,"製造分野","ボイラ・原動機製造業","施工管理職/試運転職(大規模かつ高性能な プラントを完成に導く仕事です!)"
"1650","品川公共職業安定所","13040-450459","株式会社タクマ東京支社","東京都港区芝浦3丁目9番1号(芝浦ルネサイトタワー)","133億67万円",1087,171,10,"東京都",\240680,"あり",27,"毎週",129,"製造分野","ボイラ・原動機製造業","施工管理職(大規模かつ高性能なプラントを 完成に導く仕事を行っていただきます)"
"1651","神戸公共職業安定所三田出張所","28012-102559","TKB株式会社(有馬温泉月光園)","兵庫県神戸市北区有馬町318番地","5,000万円",140,140,2,"兵庫県",\213500,"あり",27,"その他",100,"飲食・宿泊","旅館，ホテル","く思い出づくりのお手伝い>ルームスタッフ (客室係)"
"1652","神戸公共職業安定所　三田出張所","28012-103459","ＴＫＢ株式会社
（有馬温泉月光園）","兵庫県神戸市北区有馬町３１８番地","5,000万円",140,140,2,"兵庫県",\213500,"あり",28,"その他",100,"飲食・宿泊","旅館，ホテル","＜一皿一皿に想いをこめて＞調理スタッフ"
"1653","梅田公共職業安定所","27020-815459","トーコービルシステム株式会社","大阪府大阪市北区堂島１丁目２番５号　堂北ダイビル","1億5,500万円",344,62,4,"兵庫県",\233000,"あり",16,"毎週",125,"建築・設備","その他の設備工事業","エレベーター新設据付技術者"
"1654","奈良公共職業安定所","29010-38959","奈良交通株式会社","奈良県奈良市大宮町１丁目１番２５号","12億8,593万円",1435,28,10,"奈良県",\205000,"あり",5,"その他",105,"運輸・倉庫・インフラ","一般乗合旅客自動車運送業","プロフェッショナル職（路線バス運転者）"
"1655","奈良公共職業安定所","29010-39859","奈良交通株式会社","奈良県奈良市大宮町1丁目1番25号","12億8,593万円",1463,28,10,"奈良県",\195200,"あり",5,"毎週",122,"運輸・倉庫・インフラ","一般乗合旅客自動車運送業","ウィークデイズ運転者(平日限定バス運転者 )"
"1656","奈良公共職業安定所","29010-49359","奈良交通株式会社","奈良県奈良市大宮町１丁目１番２５号","12億8,593万円",1435,80,15,"奈良県",\193500,"あり",16,"毎週",113,"運輸・倉庫・インフラ","一般乗合旅客自動車運送業","観光バスガイド"
"1657","豊岡公共職業安定所","28090-39959","株式会社西村屋","兵庫県豊岡市城崎町湯島４６９番地","2,000万円",356,227,8,"兵庫県",\236900,"あり",9,"その他",115,"飲食・宿泊","旅館，ホテル","客室係（接客・サービス）"
"1658","豊岡公共職業安定所","28090-40359","株式会社西村屋","兵庫県豊岡市城崎町湯島４６９番地","2,000万円",356,218,5,"兵庫県",\216300,"あり",5,"その他",115,"飲食・宿泊","旅館，ホテル","客室サポート係"
"1659","豊岡公共職業安定所","28090-41159","株式会社西村屋","兵庫県豊岡市城崎町湯島４６９番地","2,000万円",356,218,3,"兵庫県",\216300,"あり",12,"その他",115,"飲食・宿泊","旅館，ホテル","調理"
"1660","豊岡公共職業安定所","28090-42259","株式会社西村屋","兵庫県豊岡市城崎町湯島４６９番地","2,000万円",356,218,2,"兵庫県",\206000,"あり",10,"その他",115,"飲食・宿泊","旅館，ホテル","調理補助係"
"1661","豊岡公共職業安定所","28090-43559","株式会社西村屋","兵庫県豊岡市城崎町湯島４６９番地","2,000万円",356,213,2,"兵庫県",\206000,"あり",,"その他",115,"飲食・宿泊","旅館，ホテル","営繕係（施設管理）"
"1662","神戸公共職業安定所　三田出張所","28012-126159","兵庫開発株式会社【有馬ロイヤルゴルフクラブ】","兵庫県神戸市北区淡河町北畑５７１","4,200万円",227,227,1,"兵庫県",\200000,"あり",25,"その他",106,"理美容・生活","スポーツ施設提供業","レストランホール係"
"1663","神戸公共職業安定所　三田出張所","28012-128559","兵庫開発株式会社【有馬ロイヤルゴルフクラブ】","兵庫県神戸市北区淡河町北畑５７１","4,200万円",227,227,5,"兵庫県",\260000,"あり",,"その他",101,"理美容・生活","スポーツ施設提供業","キャディ（競技係）"
"1664","飯田橋公共職業安定所","13010-2302859","プライムプラネットエナジー&ソリューションズ株式会社","東京都中央区日本橋室町二丁目1番1号日本橋三井タワー13階",,4410,1946,122,"兵庫県",\210000,"あり",8,"毎週",121,"製造分野","電池製造業","車載用リチウムイオン電池の製造及び関連業 務/姫路工場・加西工場・神戸Lab"
"1665","尼崎公共職業安定所","28030-441859","株式会社ベンカン機工尼崎工場","兵庫県尼崎市扶桑町１丁目１","1億円",412,89,5,"兵庫県",\208000,"あり",15,"毎週",122,"製造分野","暖房・調理等装置，配管工事用附属品製造業","製造職"
"1666","尼崎公共職業安定所","28030-439559","株式会社ベンカン機工大阪工場","兵庫県尼崎市西長洲町３－１－１８","1億円",412,95,5,"兵庫県",\208000,"あり",10,"その他",121,"製造分野","金属素形材製品製造業","配管部材製造"
"1667","尼崎公共職業安定所","28030-463459","利昌工業株式会社尼崎工場","兵庫県尼崎市南塚口町４－２－３７","4億5,000万円",535,277,6,"兵庫県",\188551,"",20,"その他",121,"製造分野","発電用・送電用・配電用電気機械器具製造業","各種電子材料の生産・技術スタッフ"
"1668","津公共職業安定所","24030-137859","社会福祉法人あけあい会","三重県津市緑が丘一丁目１番地１",,794,794,5,"",\204900,"あり",2,"その他",115,"医療・福祉","老人福祉・介護事業","介護士"
"1669","浜松公共職業安定所","22020-694659","株式会社一条工務店","静岡県浜松市中央区大久保町１２２７－６","2億7,460万円",7673,7673,10,"",\250000,"あり",1,"毎週",120,"建築・設備","一般土木建築工事業","住宅建築工事（全国営業所）"
"1670","浜松公共職業安定所","22020-689059","株式会社一条工務店","静岡県浜松市中央区大久保町１２２７－６","2億7,460万円",7673,22,2,"",\230000,"あり",1,"毎週",120,"建築・設備","一般土木建築工事業","住宅建築工事（鹿児島市・霧島市）"
"1671","美濃加茂公共職業安定所","21070-234559","エリエールペーパーテクノロジー東海株式会社","岐阜県加茂郡川辺町下川辺50-4elleair県彌県エリエール00","2,500万円",340,340,15,"岐阜県",\210000,"あり",21,"その他",110,"製造分野","紙製容器製造業","マシシオペレーター"
"1672","高山公共職業安定所","21040-237359","株式会社アルメリア・スパアンドリゾーツ","岐阜県下呂市幸田１８１１","800万円",172,133,3,"岐阜県",\192000,"あり",10,"その他",88,"飲食・宿泊","旅館，ホテル","サービススタッフ"
"1673","高山公共職業安定所","21040-242959","株式会社アルメリア・スパアンドリゾーツ","岐阜県下呂市幸田１８１１","800万円",172,133,2,"岐阜県",\192000,"あり",10,"その他",88,"飲食・宿泊","旅館，ホテル","フロント予約スタッフ"
"1674","高山公共職業安定所","21040-236059","株式会社アルメリア・スパアンドリゾーツ","岐阜県下呂市幸田１８１１","800万円",172,133,1,"岐阜県",\192000,"あり",10,"その他",88,"飲食・宿泊","旅館，ホテル","館内業務スタッフ"
"1675","高山公共職業安定所","21040-241659","株式会社アルメリア・スパアンドリゾーツ","岐阜県下呂市幸田１８１１","800万円",172,133,1,"岐阜県",\192000,"あり",10,"その他",88,"飲食・宿泊","旅館，ホテル","売店販売スタッフ"
"1676","高山公共職業安定所","21040-244059","株式会社アルメリア・スパアンドリゾーツ","岐阜県下呂市幸田1811","800万円",172,133,1,"岐阜県",\192000,"あり",10,"その他",88,"飲食・宿泊","旅館，ホテル","設備課設備管理"
"1677","富士公共職業安定所","22100-248459","株式会社G-FIVE","静岡県富士市中之郷1946-1","800万円",24,24,7,"静岡県",\200000,"あり",10,"その他",105,"建築・設備","とび・土工・コンクリート工事業","藤工・足場工事(足場の組立解体をする仕事 )"
"1678","浜松公共職業安定所","22020-393459","株式会社ハルノ","静岡県浜松市中央区三島町１６２７","2,000万円",17,16,2,"静岡県",\220000,"あり",11,"毎週",110,"製造分野","その他のはん用機械・同部分品製造業","メンテナンスエンジニア"
"1679","四日市公共職業安定所","24010-372159","名和機械株式会社","三重県四日市市末広町2-9","1,000万円",30,29,2,"三重県",\203016,"あり",35,"その他",115,"製造分野","その他のはん用機械・同部分品製造業","リサイクル機械メンテナンス"
"1680","四日市公共職業安定所","24010-164259","名和機械株式会社","三重県四日市市末広町２－９","1,000万円",30,29,2,"三重県",\198016,"あり",5,"その他",115,"製造分野","その他のはん用機械・同部分品製造業","リサイクル機械製造"
"1681","四日市公共職業安定所","24010-374559","名和機械株式会社","三重県四日市市末広町2-9","1,000万円",30,29,2,"三重県",\198016,"あり",20,"その他",115,"製造分野","その他のはん用機械・同部分品製造業","リサイクル機械設計"
"1682","多治見公共職業安定所","21030-396159","株式会社ヤマエル","岐阜県多治見市金岡町３丁目５０番地","3,000万円",67,50,3,"岐阜県",\230000,"あり",10,"毎週",115,"建築・設備","床・内装工事業","内装施工作業者"
"1683","多治見公共職業安定所","21030-395359","株式会社ヤマエル","岐阜県多治見市金岡町３丁目５０番地","3,000万円",67,12,2,"愛知県",\230000,"あり",10,"毎週",115,"建築・設備","床・内装工事業","内装施工作業者（耐火被覆工事）"
"1684","川内公共職業安定所","46020-181459","有限会社農業生産法人のざき","鹿児島県薩摩川内市御陵下町７－４７","2,300万円",27,26,2,"鹿児島県",\195000,"あり",,"なし",84,"その他の分野","畜産農業","飼育管理係"
"1685","別府公共職業安定所","44020-199859","大分キヤノン株式会社","大分県国東市安岐町下原７１０","8,000万円",3206,3206,70,"大分県",\185800,"あり",128,"毎週",125,"製造分野","光学機械器具・レンズ製造業","技能職（総合職）"
"1686","福岡南公共職業安定所","40180-39459","株式会社金崎建設","福岡県那珂川市別所８７０－１０","1,000万円",10,10,2,"福岡県",\210000,"あり",8,"毎週",112,"建築・設備","建築工事業（木造建築工事業を除く）","型枠大工"
"1687","堺公共職業安定所","27080-645359","株式会社コアテクノ","大阪府堺市堺区三宝町9丁403番地4三宝企業団地内オフィスビル1F","2,000万円",8,8,2,"大阪府",\200000,"あり",20,"その他",120,"建築・設備","電気工事業","電気工事技術者(交通信号機の設置・保守 修繕を行う仕事)"
"1688","小田原公共職業安定所","14070-18059","西湘計装株式会社","神奈川県小田原市下堀６３－３１","500万円",11,10,2,"神奈川県",\200000,"あり",10,"毎週",115,"建築・設備","電気工事業","電気工事作業員"
"1689","中津公共職業安定所","44030-93759","株式会社ＴＦ－ＭＥＴＡＬ九州","大分県中津市大字大新田字９番通３９６－１","1,000万円",118,116,30,"大分県",\180000,"あり",15,"毎週",121,"製造分野","自動車・同附属品製造業","自動車部品の機械加工・組付け作業"
"1690","福岡中央公共職業安定所","40010-576259","株式会社富治商会","福岡県福岡市中央区赤坂1-2-7f-styleKEYAKI2階","3,000万円",106,17,2,"福岡県",\203410,"あり",20,"その他",123,"販売・小売・スーパー","建築材料卸売業","施工管理(商品の取り付け工事をおこなう 現場の管理)/福岡特販本部"
"1691","朝霞公共職業安定所","11110-103759","株式会社ボン","埼玉県新座市大和田5-2-25","1,000万円",140,4,10,"",\215200,"あり",3,"毎週",105,"理美容・生活","美容業","ビューティスキンクリエイター(埼玉"
"1692","朝霞公共職業安定所","11110-102459","株式会社ボン","埼玉県新座市大和田5-2-25","1,000万円",140,4,10,"",\215200,"あり",3,"毎週",105,"理美容・生活","美容業","ビューティクリエイター(埼玉"
"1693","阿倍野公共職業安定所","27040-689259","株式会社イセイ興産","大阪府大阪市東住吉区杭全８丁目１１－１０","1,000万円",27,18,2,"大阪府",\220000,"あり",15,"その他",115,"建築・設備","とび・土工・コンクリート工事業","工務店へ足場工事を提案する営業スタッフ"
"1694","阿倍野公共職業安定所","27040-691659","株式会社イセイ興産","大阪府大阪市東住吉区杭全８丁目１１－１０","1,000万円",27,18,2,"大阪府",\220000,"あり",15,"その他",115,"建築・設備","とび・土工・コンクリート工事業","職人さんに必要不可欠な足場組立"
"1695","阿倍野公共職業安定所","27040-690759","株式会社イセイ興産","大阪府大阪市東住吉区杭全８丁目１１－１０","1,000万円",27,9,2,"兵庫県",\220000,"あり",15,"その他",115,"建築・設備","とび・土工・コンクリート工事業","工務店へ足場工事を提案する営業スタッフ"
"1696","阿倍野公共職業安定所","27040-692959","株式会社イセイ興産","大阪府大阪市東住吉区杭全８丁目１１－１０","1,000万円",27,9,2,"兵庫県",\220000,"あり",15,"その他",115,"建築・設備","とび・土工・コンクリート工事業","職人さんに必要不可欠な足場組立"
"1697","門真公共職業安定所","27180-137659","Sラッキング株式会社","大阪府守口市梶町1丁目8-7","500万円",17,17,4,"大阪府",\230000,"あり",3,"毎週",114,"建築・設備","板金・金物工事業","ラッキングカバー(保温材)の取り付け工事 ・資材管理および事務処理スタッフ"
"1698","藤井寺公共職業安定所","27120-183459","株式会社晃和建設","大阪府藤井寺市藤井寺４丁目１０－１０","1,000万円",18,18,2,"大阪府",\250000,"あり",5,"毎週",124,"建築・設備","一般土木建築工事業","重機オペレータースタッフ"
"1699","藤井寺公共職業安定所","27120-184759","株式会社晃和建設","大阪府藤井寺市藤井寺４丁目１０－１０","1,000万円",18,18,2,"大阪府",\250000,"あり",5,"毎週",124,"建築・設備","一般土木建築工事業","街をつくる開発プロジェクトスタッフ"
"1700","藤井寺公共職業安定所","27120-181259","株式会社晃和建設","大阪府藤井寺市藤井寺４丁目１０－１０","1,000万円",18,18,2,"大阪府",\250000,"あり",5,"毎週",124,"建築・設備","一般土木建築工事業","マイホームの基礎技術スタッフ"
"1701","藤井寺公共職業安定所","27120-182559","株式会社晃和建設","大阪府藤井寺市藤井寺４丁目１０－１０","1,000万円",18,18,2,"大阪府",\250000,"あり",5,"毎週",124,"建築・設備","一般土木建築工事業","エクステリア工事スタッフ"
"1702","淀川公共職業安定所","27060-764559","SHINT株式会社","大阪府大阪市淀川区西中島3-9-12空研ビル10F","5,000万円",58,28,3,"大阪府",\248540,"あり",20,"その他",119,"その他の分野","その他の専門サービス業","人材・WEBl営業スタッフ"
"1703","淀川公共職業安定所","27060-765459","SHINT株式会社","大阪府大阪市淀川区西中島3-9-12空研ビル10F","5,000万円",58,6,2,"神奈川県",\259240,"あり",26,"その他",119,"その他の分野","その他の専門サービス業","(人材・WEBI営業スタッフ/横浜市)"
"1704","淀川公共職業安定所","27060-763259","ＳＨＩＮＴ株式会社","大阪府大阪市淀川区西中島３ー９－１２　空研ビル１０Ｆ","5,000万円",58,8,1,"大阪府",\205605,"あり",10,"毎週",119,"その他の分野","その他の専門サービス業","児童指導員（障害福祉の学童支援）"
"1705","阿倍野公共職業安定所","27040-478359","南大阪建設株式会社","大阪府大阪市阿倍野区阪南町1-27-2昭和町ビル7階","3,000万円",31,28,4,"大阪府",\243600,"あり",,"その他",110,"建築・設備","一般土木建築工事業","橋梁工事作業員(とび・かじエ)正社員4一 生モノの技術を身につけて、長く働こう!"
"1706","西宮公共職業安定所","28040-204959","阪神ケーブルエンジニアリング株式会社","兵庫県西宮市上鳴尾町27-11","5,000万円",91,62,1,"兵庫県",\203200,"あり",17,"その他",122,"運輸・倉庫・インフラ","電気通信に附帯するサービス業","総合職(電気通信工事、電気工事、電気通信 事業)"
"1707","名古屋中公共職業安定所","23020-248759","ＯＭＣ株式会社","愛知県名古屋市中区富士見町８番８号","1億円",100,5,2,"鹿児島県",\230000,"あり",20,"毎週",120,"製造分野","一般産業用機械・装置製造業","プラントエンジニア（南九州事業所）"
"1708","桑名公共職業安定所","24050-383759","株式会社キング観光","三重県桑名市中央町１－９６","2,500万円",800,800,10,"三重県",\258000,"あり",10,"その他",105,"理美容・生活","遊戯場","店舗接客スタッフ"
"1709","桑名公共職業安定所","24050-294659","株式会社ナガシマゴルフ","三重県いなべ市員弁町市之原2164",,104,104,5,"三重県",\213400,"あり",3,"その他",105,"理美容・生活","スポーツ施設提供業","ナガシマカントリークラブキャディー"
"1710","桑名公共職業安定所","24050-309659","長島観光開発株式会社ナガシマリゾート","三重県桑名市長島町浦安333",,2000,2000,13,"三重県",\213000,"あり",4,"その他",105,"理美容・生活","公園，遊園地","ルーム係(和服)"
"1711","桑名公共職業安定所","24050-310059","長島観光開発株式会社ナガシマリゾート","三重県桑名市長島町浦安333",,2000,2000,2,"三重県",\206000,"あり",5,"その他",105,"理美容・生活","公園，遊園地","和服ホテルサービス係"
"1712","桑名公共職業安定所","24050-311359","長島観光開発株式会社ナガシマリゾート","三重県桑名市長島町浦安333",,2000,2000,2,"三重県",\192000,"あり",9,"その他",105,"理美容・生活","公園，遊園地","洋服ホテルサービス係"
"1713","桑名公共職業安定所","24050-313259","長島観光開発株式会社ナガシマリゾート","三重県桑名市長島町浦安333",,2000,2000,21,"三重県",\192000,"あり",14,"その他",105,"理美容・生活","公園，遊園地","遊園地オペレーター係"
"1714","桑名公共職業安定所","24050-314559","長島観光開発株式会社ナガシマリゾート","三重県桑名市長島町浦安333",,2000,2000,2,"三重県",\192000,"あり",18,"その他",105,"理美容・生活","公園，遊園地","管理係(エンジニア・メンテナンス係)"
"1715","桑名公共職業安定所","24050-316759","長島観光開発株式会社ナガシマリゾート","三重県桑名市長島町浦安333",,2000,2000,3,"三重県",\192000,"あり",25,"その他",105,"理美容・生活","公園，遊園地","調理係"
"1716","伊賀公共職業安定所","24060-54859","株式会社ミヤケ","三重県伊賀市佐那具町１６２６番地","6,000万円",437,278,15,"三重県",\208000,"あり",30,"毎週",118,"製造分野","その他のはん用機械・同部分品製造業","生産業務全般"
"1717","刈谷公共職業安定所　碧南出張所","23111-89459","アイシン辰栄株式会社","愛知県碧南市港南町２丁目８番地１２","23億1,000万円",1385,1385,57,"愛知県",\190000,"あり",29,"毎週",121,"製造分野","自動車・同附属品製造業","技能職"
"1718","刈谷公共職業安定所碧南出張所","23111-88559","アイシン辰栄株式会社","愛知県碧南市港南町2丁目8番地12",,1389,1389,11,"愛知県",\190000,"あり",,"毎週",121,"製造分野","自動車・同附属品製造業","アイシン高等学園生(機械加工)"
"1719","刈谷公共職業安定所碧南出張所","23111-91959","アイシン辰栄株式会社","愛知県碧南市港南町2丁目8番地12",,1385,1385,13,"",\190000,"あり",,"毎週",121,"製造分野","自動車・同附属品製造業","アイシン高等学園生(製造設備)"
"1720","品川公共職業安定所","13040-2454659","愛知産業株式会社","東京都品川区東大井2-6-8","8,600万円",150,62,6,"神奈川県",\194590,"あり",15,"毎週",124,"製造分野","一般産業用機械・装置製造業","1,設備設計(機械・電気) 2,システム技術"
"1721","豊田公共職業安定所","23090-207159","愛知陸運株式会社","愛知県豊田市前林町住吉３２番地","4億6,500万円",1398,68,10,"",\215000,"あり",27,"その他",110,"運輸・倉庫・インフラ","一般貨物自動車運送業","住宅建材（家具など）近距離配達ドライバー"
"1722","豊田公共職業安定所","23090-210959","愛知陸運株式会社","愛知県豊田市前林町住吉32番地","4億6,500万円",1398,56,10,"",\215000,"あり",27,"その他",110,"運輸・倉庫・インフラ","一般貨物自動車運送業","航空貨物の中距離配達ドライバー (2tトラック)"
"1723","豊田公共職業安定所","23090-217459","愛知陸運株式会社","愛知県豊田市前林町住吉32番地","4億6,500万円",1398,39,10,"",\215000,"あり",27,"その他",110,"運輸・倉庫・インフラ","一般貨物自動車運送業","コンビニへ本や雑誌を配達する近距離配達ド ライバー"
"1724","名古屋中公共職業安定所","23020-847359","株式会社アオキスーパー","愛知県名古屋市中村区鳥居西通１丁目１番地","5,000万円",3804,73,20,"愛知県",\200000,"あり",14,"毎週",107,"販売・小売・スーパー","総合スーパーマーケット","チェッカー職"
"1725","刈谷公共職業安定所","23110-751759","アスカ株式会社","愛知県刈谷市新富町２丁目４１番地２","9億384万円",633,236,51,"",\210000,"あり",15,"毎週",115,"製造分野","自動車・同附属品製造業","生産技能職（刈谷工場）"
"1726","津島公共職業安定所","23100-249659","朝金鋼業株式会社","愛知県弥富市操出11-13-1","1,000万円",40,40,2,"愛知県",\200000,"あり",20,"毎週",110,"製造分野","製鋼を行わない鋼材製造業（表面処理鋼材を除く）","工場内作業 加工機オペレーター"
"1727","名古屋南公共職業安定所","23030-858959","株式会社アライバル","愛知県名古屋市南区平子2丁目23-11","300万円",14,10,2,"愛知県",\220000,"あり",5,"毎週",130,"その他の分野","他に分類されない事業サービス業","基地局設置の土地を探して交渉する設置交渉 スタッフ"
"1728","名古屋南公共職業安定所","23030-859859","株式会社アライバル","愛知県名古屋市南区平子2丁目23-11","300万円",14,10,2,"愛知県",\220000,"あり",5,"毎週",130,"その他の分野","他に分類されない事業サービス業","大手通信キャリアのスマホを繋げる 無線基地局内の現場作業スタッフ"
"1729","名古屋南公共職業安定所","23030-857659","株式会社アライバル","愛知県名古屋市南区平子２丁目２３－１１","300万円",14,10,2,"愛知県",\220000,"あり",5,"毎週",130,"その他の分野","他に分類されない事業サービス業","南区の綺麗なオフィスで働く設計スタッフ"
"1730","名古屋中公共職業安定所","23020-581359","井の上建設株式会社","愛知県名古屋市中川区笈瀬町2丁目52","1,000万円",13,13,3,"愛知県",\267000,"あり",15,"毎週",115,"建築・設備","建築工事業（木造建築工事業を除く）","木材のパネル制作、加工、組立スタッフ (型枠工事)"
"1731","名古屋中公共職業安定所","23020-576559","井の上建設株式会社","愛知県名古屋市中川区笈瀬町２丁目５２","1,000万円",13,13,3,"愛知県",\267000,"あり",15,"毎週",115,"建築・設備","建築工事業（木造建築工事業を除く）","施工管理候補生（型枠工事）"
"1732","豊田公共職業安定所","23090-38359","内浜化成株式会社","愛知県豊田市四郷町宮下河原１番地","4,800万円",495,439,15,"",\209100,"あり",30,"その他",120,"製造分野","自動車・同附属品製造業","生産スタッフ（総合職）"
"1733","刈谷公共職業安定所","23110-822459","太田商事株式会社","愛知県刈谷市南桜町１丁目７３　ＯＴＡビル　９Ｆ","4,800万円",472,5,20,"愛知県",\216000,"あり",25,"その他",111,"販売・小売・スーパー","石油・鉱物卸売業","石油販売職"
"1734","刈谷公共職業安定所","23110-821559","太田商事株式会社","愛知県刈谷市南桜町1丁目73OTAビル9F","4,800万円",472,28,7,"愛知県",\207000,"あり",20,"その他",111,"販売・小売・スーパー","石油・鉱物卸売業","コメダ珈琲店店舗スタッフ"
"1735","名古屋中公共職業安定所","23020-603059","株式会社沖恵組","愛知県北名古屋市熊之庄石原115","900万円",12,10,3,"愛知県",\243000,"あり",5,"毎週",120,"建築・設備","一般土木建築工事業","建物の木枠をオーダーメイドで作っていく木 材加工スタッフ"
"1736","名古屋中公共職業安定所","23020-1630159","株式会社かぶらや","愛知県名古屋市中区古渡町19-9","5,000万円",864,806,30,"愛知県",\229600,"あり",24,"その他",105,"飲食・宿泊","その他の飲食店","全国総合職)飲食店での調理・接客業務"
"1737","名古屋中公共職業安定所","23020-1636959","株式会社かぶらや","愛知県名古屋市中区古渡町19-9","5,000万円",864,595,20,"愛知県",\217600,"あり",24,"その他",105,"飲食・宿泊","その他の飲食店","愛知地域職)飲食店での調理・接客業務"
"1738","名古屋中公共職業安定所","23020-1618759","株式会社かぶらや","愛知県名古屋市中区古渡町19-9","5,000万円",864,94,5,"京都府",\217600,"あり",24,"その他",105,"飲食・宿泊","その他の飲食店","(関西地域職l飲食店での調理・接客業務"
"1739","名古屋中公共職業安定所","23020-1614159","株式会社かぶらや","愛知県名古屋市中区古渡町19-9","5,000万円",864,117,5,"東京都",\247600,"あり",24,"その他",105,"飲食・宿泊","その他の飲食店","東京地域職l飲食店での調理・接客業務"
"1740","名古屋東公共職業安定所","23010-244559","株式会社木曽路","愛知県名古屋市昭和区白金三丁目１８番１３号","126億4,800万円",12132,62,15,"",\199000,"あり",30,"その他",115,"飲食・宿泊","食堂，レストラン（専門料理店を除く）","調理師補助（スクール社員）"
"1741","名古屋東公共職業安定所","23010-238759","株式会社木曽路","愛知県名古屋市昭和区白金三丁目１８番１３号","126億4,800万円",12132,62,6,"",\199000,"あり",30,"その他",115,"飲食・宿泊","食堂，レストラン（専門料理店を除く）","接客・調理担当"
"1742","半田公共職業安定所","23070-166259","弘新建設株式会社","愛知県知多市新知字美濃川66-1","2,000万円",92,92,5,"愛知県",\230000,"あり",10,"その他",100,"建築・設備","一般土木建築工事業","土木施工管理及び現場作業員"
