"独自番号","安定所名","求人番号","事_業_所","所_在_地","資本金","全社員数","就業場所人数","求人数","就業場所","月額賃金","賞与","時間外平均","週休２日制","年間休日数","業種8種","産業分類","職種"
"0929","鹿児島公共職業安定所","46010-654759","霧島観光交通株式会社霧島ホテル","鹿児島県鹿児島市西千石町１－２４","1,000万円",132,132,3,"鹿児島県",\172000,"あり",3,"その他",100,"飲食・宿泊","旅館，ホテル","ホテル調理"
"0930","鹿児島公共職業安定所","46010-925359","霧島観光交通株式会社霧島ホテル","鹿児島県鹿児島市西千石町１－２４","1,000万円",132,132,3,"鹿児島県",\172000,"あり",5,"その他",100,"飲食・宿泊","旅館，ホテル","施設管理スタッフ"
"0931","国分公共職業安定所","46040-113859","株式会社ホンダ鹿児島","鹿児島県霧島市隼人町見次１０９２－１","1,000万円",60,15,5,"鹿児島県",\171000,"あり",10,"その他",110,"販売・小売・スーパー","自動車小売業","自動車整備士"
"0932","鹿屋公共職業安定所","46030-144659","日本モレックス合同会社鹿児島サイト","鹿児島県鹿屋市川西町3949-3",,1256,430,3,"鹿児島県",\175000,"あり",33,"その他",192,"製造分野","電子デバイス製造業","コネクター製造におけるエンジニア業務"
"0933","都城公共職業安定所","45040-169259","社会福祉法人常陽社会福祉事業団","宮崎県都城市南横市町４０００番地","1,000万円",183,48,5,"",\170300,"あり",,"その他",123,"医療・福祉","老人福祉・介護事業","介護職員"
"0934","都城公共職業安定所","45040-168159","社会福祉法人常陽社会福祉事業団","宮崎県都城市南横市町４０００番地","1,000万円",183,68,5,"宮崎県",\159300,"あり",,"その他",123,"医療・福祉","老人福祉・介護事業","調理員"
"0935","大阪東公共職業安定所","27010-1064359","株式会社コスモビューティー","大阪府大阪市中央区内本町１丁目１番１号","9,991万円",584,123,20,"大阪府",\267000,"なし",20,"毎週",120,"製造分野","その他の化学工業","化粧品・化成品の製造スタッフ（大阪）"
"0936","大阪東公共職業安定所","27010-1071059","株式会社コスモビューティー","大阪府大阪市中央区内本町１丁目１番１号","9,991万円",584,55,1,"大阪府",\267000,"なし",10,"毎週",120,"製造分野","その他の化学工業","事務職（大阪）"
"0937","大阪東公共職業安定所","27010-1057259","株式会社コスモビューティー","大阪府大阪市中央区内本町１丁目１番１号","9,991万円",584,55,2,"大阪府",\297750,"なし",20,"毎週",120,"製造分野","その他の化学工業","営業職（大阪）"
"0938","大阪東公共職業安定所","27010-1054059","株式会社コスモビューティー","大阪府大阪市中央区内本町1丁目1番1号","9,991万円",584,123,2,"大阪府",\267000,"なし",20,"毎週",120,"製造分野","その他の化学工業","化粧品・化成品工場でのフォークリフトオペ レーター(大阪)"
"0939","大阪東公共職業安定所","27010-1065159","株式会社コスモビューティー","大阪府大阪市中央区内本町１丁目１番１号","9,991万円",584,43,20,"兵庫県",\267000,"なし",20,"毎週",120,"製造分野","その他の化学工業","化粧品・化成品の製造スタッフ（神戸）"
"0940","大阪東公共職業安定所","27010-1067559","株式会社コスモビューティー","大阪府大阪市中央区内本町1丁目1番1号","9,991万円",584,43,2,"兵庫県",\267000,"なし",20,"毎週",120,"製造分野","その他の化学工業","化粧品・化成品工場でのフォークリフトオペ レーター(神戸)"
"0941","福岡中央公共職業安定所","40010-456759","株式会社クララ","福岡県福岡市博多区住吉１－５－３　プラスワン４Ｆ","300万円",200,9,12,"",\186000,"なし",20,"その他",85,"理美容・生活","美容業","美容師補助業務"
